locationabbr,income,sex,ageyears,race_ethnicity,education,obesity_pct,total_sample_size,strat_type
OH,"$50,000 - $74,999",,,,,35.176389668725434,21372.0,income
OH,"$75,000 or greater",,,,,30.36198811312128,30622.0,income
OH,Data not reported,,,,,30.64848115477145,31175.0,income
OH,"Less than $15,000",,,,,37.70926489429853,12488.0,income
OK,"$15,000 - $24,999",,,,,37.44019323671498,12420.0,income
OK,"$25,000 - $34,999",,,,,35.01615218134184,8779.0,income
OK,"$35,000 - $49,999",,,,,36.79189066059226,10975.0,income
OK,"$50,000 - $74,999",,,,,36.50962257432793,11234.0,income
OK,"$75,000 or greater",,,,,32.31924139663401,15924.0,income
OK,Data not reported,,,,,31.37767632658462,15114.0,income
OK,"Less than $15,000",,,,,37.235569795200405,7959.0,income
OR,"$15,000 - $24,999",,,,,32.63425151092515,8604.0,income
OR,"$25,000 - $34,999",,,,,29.60189529283828,6437.0,income
OR,"$35,000 - $49,999",,,,,31.270923656927422,8488.0,income
OR,"$50,000 - $74,999",,,,,29.634406165004535,8824.0,income
OR,"$75,000 or greater",,,,,25.952983552212164,15686.0,income
OR,Data not reported,,,,,26.540948189637927,14997.0,income
OR,"Less than $15,000",,,,,34.84636526588329,5021.0,income
PA,"$15,000 - $24,999",,,,,34.144097448131284,13833.0,income
PA,"$25,000 - $34,999",,,,,32.59835855894266,9382.0,income
PA,"$35,000 - $49,999",,,,,32.595418360433605,11808.0,income
PA,"$50,000 - $74,999",,,,,32.43442145364906,13387.0,income
PA,"$75,000 or greater",,,,,26.533576797316233,23549.0,income
PA,Data not reported,,,,,26.597344961240307,15480.0,income
PA,"Less than $15,000",,,,,36.64387073259628,8231.0,income
PR,"$15,000 - $24,999",,,,,33.07158146845296,13361.0,income
PR,"$25,000 - $34,999",,,,,30.93227573182247,5295.0,income
PR,"$35,000 - $49,999",,,,,31.482061546159624,3997.0,income
PR,"$50,000 - $74,999",,,,,31.07911149081589,2341.0,income
PR,"$75,000 or greater",,,,,28.432471728594507,1857.0,income
PR,Data not reported,,,,,28.103031819091456,9994.0,income
PR,"Less than $15,000",,,,,33.423673805601325,18210.0,income
RI,"$15,000 - $24,999",,,,,31.744585039077034,8061.0,income
RI,"$25,000 - $34,999",,,,,31.49657083477658,5774.0,income
RI,"$35,000 - $49,999",,,,,30.087850847457624,7375.0,income
RI,"$50,000 - $74,999",,,,,29.188969490078943,9374.0,income
RI,"$75,000 or greater",,,,,25.15101417666303,18340.0,income
RI,Data not reported,,,,,25.421631342324982,15570.0,income
RI,"Less than $15,000",,,,,34.31499338249197,5289.0,income
SC,"$15,000 - $24,999",,,,,37.084646992902506,18739.0,income
SC,"$25,000 - $34,999",,,,,36.42514086183636,12601.0,income
SC,"$35,000 - $49,999",,,,,34.22197651663405,15330.0,income
SC,"$50,000 - $74,999",,,,,34.02246821705427,16125.0,income
SC,"$75,000 or greater",,,,,28.92323658454269,23704.0,income
SC,Data not reported,,,,,28.808420800574687,25057.0,income
SC,"Less than $15,000",,,,,39.38576366559485,12440.0,income
SD,"$15,000 - $24,999",,,,,33.35823739579198,10076.0,income
SD,"$25,000 - $34,999",,,,,33.844205279256826,8827.0,income
SD,"$35,000 - $49,999",,,,,32.78221709006929,12124.0,income
SD,"$50,000 - $74,999",,,,,33.46450956757571,13274.0,income
SD,"$75,000 or greater",,,,,30.457299024554324,17838.0,income
SD,Data not reported,,,,,28.708225862669916,17214.0,income
SD,"Less than $15,000",,,,,34.78925358213929,6002.0,income
TN,"$15,000 - $24,999",,,,,36.70887209627764,10719.0,income
TN,"$25,000 - $34,999",,,,,35.056659651232714,6652.0,income
TN,"$35,000 - $49,999",,,,,36.016762230084176,8197.0,income
TN,"$50,000 - $74,999",,,,,35.94586751561161,8167.0,income
TN,"$75,000 or greater",,,,,31.83034071550255,11740.0,income
TN,Data not reported,,,,,29.825056358573132,15082.0,income
TN,"Less than $15,000",,,,,37.77349853002939,7143.0,income
TX,"$15,000 - $24,999",,,,,36.58120374938333,20270.0,income
TX,"$25,000 - $34,999",,,,,35.06437541799808,13457.0,income
TX,"$35,000 - $49,999",,,,,33.57912350097319,15927.0,income
TX,"$50,000 - $74,999",,,,,35.07535376044569,17950.0,income
TX,"$75,000 or greater",,,,,29.24867485845079,33204.0,income
TX,Data not reported,,,,,29.844869124487946,28806.0,income
TX,"Less than $15,000",,,,,39.6189859839817,13984.0,income
US,"$15,000 - $24,999",,,,,33.929314466985836,685948.0,income
US,"$25,000 - $34,999",,,,,32.71904387955129,505543.0,income
US,"$35,000 - $49,999",,,,,32.01770829795708,647798.0,income
US,"$50,000 - $74,999",,,,,31.65228793445658,741127.0,income
US,"$75,000 or greater",,,,,26.507095419886443,1268593.0,income
US,Data not reported,,,,,26.94156068332919,1053782.0,income
US,"Less than $15,000",,,,,35.111418419306425,420461.0,income
UT,"$15,000 - $24,999",,,,,28.18266089202948,13161.0,income
UT,"$25,000 - $34,999",,,,,29.262359744519248,11586.0,income
UT,"$35,000 - $49,999",,,,,29.401767464229888,16634.0,income
UT,"$50,000 - $74,999",,,,,28.70300398442047,22337.0,income
UT,"$75,000 or greater",,,,,25.130064647165188,40373.0,income
UT,Data not reported,,,,,24.406459882081517,27307.0,income
UT,"Less than $15,000",,,,,27.867170206401436,6686.0,income
VA,"$15,000 - $24,999",,,,,35.572555928869946,12203.0,income
VA,"$25,000 - $34,999",,,,,33.8104355419714,9161.0,income
VA,"$35,000 - $49,999",,,,,33.2965112406328,12010.0,income
VA,"$50,000 - $74,999",,,,,31.90494270329974,14486.0,income
VA,"$75,000 or greater",,,,,27.333089863502657,30257.0,income
VA,Data not reported,,,,,27.69533315349339,22242.0,income
VA,"Less than $15,000",,,,,37.81984744707347,6424.0,income
VI,"$15,000 - $24,999",,,,,29.17246835443038,632.0,income
VI,"$25,000 - $34,999",,,,,32.758915834522114,701.0,income
VI,"$35,000 - $49,999",,,,,40.19655172413793,812.0,income
VI,"$50,000 - $74,999",,,,,34.83204819277108,830.0,income
VI,"$75,000 or greater",,,,,42.265571205007824,639.0,income
VI,Data not reported,,,,,26.714175753688263,1559.0,income
VI,"Less than $15,000",,,,,35.37759562841531,549.0,income
VT,"$15,000 - $24,999",,,,,31.509833734412602,9142.0,income
VT,"$25,000 - $34,999",,,,,29.332968685901815,7313.0,income
VT,"$35,000 - $49,999",,,,,28.069277402952967,10227.0,income
VT,"$50,000 - $74,999",,,,,28.05461437301772,12927.0,income
VT,"$75,000 or greater",,,,,22.505725171188796,19423.0,income
VT,Data not reported,,,,,23.316290018832394,16992.0,income
VT,"Less than $15,000",,,,,31.941791907514457,5190.0,income
WA,"$15,000 - $24,999",,,,,31.819748211731042,17475.0,income
WA,"$25,000 - $34,999",,,,,30.872047143223163,15612.0,income
WA,"$35,000 - $49,999",,,,,31.460074916632404,21891.0,income
WA,"$50,000 - $74,999",,,,,30.579296630454795,27155.0,income
WA,"$75,000 or greater",,,,,25.73483533288819,46427.0,income
WA,Data not reported,,,,,25.56716599569329,42724.0,income
WA,"Less than $15,000",,,,,34.551235824367545,10317.0,income
WI,"$15,000 - $24,999",,,,,35.18497948563995,9993.0,income
WI,"$25,000 - $34,999",,,,,35.10799908842297,8776.0,income
WI,"$35,000 - $49,999",,,,,34.23861258946595,10898.0,income
WI,"$50,000 - $74,999",,,,,33.47526344547654,12811.0,income
WI,"$75,000 or greater",,,,,29.852115552961774,17135.0,income
WI,Data not reported,,,,,31.140131490674896,14906.0,income
WI,"Less than $15,000",,,,,36.25257566646622,4989.0,income
WV,"$15,000 - $24,999",,,,,39.782293577981655,10900.0,income
WV,"$25,000 - $34,999",,,,,39.4827817032354,8067.0,income
WV,"$35,000 - $49,999",,,,,38.37217305801377,9153.0,income
WV,"$50,000 - $74,999",,,,,39.869510394183806,8803.0,income
WV,"$75,000 or greater",,,,,35.919429920728625,11858.0,income
WV,Data not reported,,,,,33.6140697218958,12765.0,income
WV,"Less than $15,000",,,,,38.28482362592289,7314.0,income
WY,"$15,000 - $24,999",,,,,30.93543180978194,8117.0,income
WY,"$25,000 - $34,999",,,,,29.002486848397897,6273.0,income
WY,"$35,000 - $49,999",,,,,29.461992840095462,8380.0,income
WY,"$50,000 - $74,999",,,,,30.304615538646377,9988.0,income
WY,"$75,000 or greater",,,,,26.98511819250359,15314.0,income
WY,Data not reported,,,,,27.428691184424014,11094.0,income
WY,"Less than $15,000",,,,,32.149822743386956,3667.0,income
AK,,Female,,,,30.745860079629473,24614.0,sex
AK,,Male,,,,30.967839850266508,24577.0,sex
AL,,Female,,,,36.101109453854484,48943.0,sex
AL,,Male,,,,34.8029842289168,31767.0,sex
AR,,Female,,,,37.185737265415554,37300.0,sex
AR,,Male,,,,34.934004150189885,25541.0,sex
AZ,,Female,,,,29.34493222040918,63736.0,sex
AZ,,Male,,,,30.048760501437783,53207.0,sex
CA,,Female,,,,25.51947311364885,67339.0,sex
CA,,Male,,,,25.618429035921533,64279.0,sex
CO,,Female,,,,22.36844285313114,71220.0,sex
CO,,Male,,,,22.4414825559203,65495.0,sex
CT,,Female,,,,26.49362539617626,58686.0,sex
CT,,Male,,,,28.062357692993046,50507.0,sex
DC,,Female,,,,26.840909090909086,26026.0,sex
DC,,Male,,,,19.379257729882163,19858.0,sex
DE,,Female,,,,32.915911536992674,28803.0,sex
DE,,Male,,,,31.414119040308787,22799.0,sex
FL,,Female,,,,27.00779664596393,104173.0,sex
FL,,Male,,,,28.660989755674677,81899.0,sex
GA,,Female,,,,33.716720721433376,50566.0,sex
GA,,Male,,,,30.738409349905915,37733.0,sex
GU,,Female,,,,31.05751385417799,9203.0,sex
GU,,Male,,,,33.155956258724984,8596.0,sex
HI,,Female,,,,21.63769115141798,49895.0,sex
HI,,Male,,,,26.14396490918709,45368.0,sex
IA,,Female,,,,33.14369665513264,52020.0,sex
IA,,Male,,,,34.77374952352717,47222.0,sex
ID,,Female,,,,29.03577515118197,36380.0,sex
ID,,Male,,,,29.975003112162323,32132.0,sex
IL,,Female,,,,31.27361905626683,33039.0,sex
IL,,Male,,,,30.77301495972382,27808.0,sex
IN,,Female,,,,34.518884602770534,64031.0,sex
IN,,Male,,,,33.499690613325036,51392.0,sex
KS,,Female,,,,32.617935567901995,98274.0,sex
KS,,Male,,,,32.924908651614516,84019.0,sex
KY,,Female,,,,33.60158074622615,56176.0,sex
KY,,Male,,,,34.4915126202078,38787.0,sex
LA,,Female,,,,37.23069655687226,42868.0,sex
LA,,Male,,,,34.828081251715616,29144.0,sex
MA,,Female,,,,23.053956698496734,74039.0,sex
MA,,Male,,,,25.682791998279203,60437.0,sex
MD,,Female,,,,32.0674043356873,97424.0,sex
MD,,Male,,,,29.74523479843336,75831.0,sex
ME,,Female,,,,29.796914685431155,72051.0,sex
ME,,Male,,,,30.75806835965287,56232.0,sex
